brand,model,model_year,mileage,fuel_type,transmission_type,clean_title,price
14,Utility Police Interceptor Base,2013,51000.0,E85 Flex Fuel,A/T,1,10300.0
19,Palisade SEL,2021,34742.0,Gasoline,A/T,1,38005.0
27,RX 350 RX 350,2022,22372.0,Gasoline,A/T,1,54598.0
20,Q50 Hybrid Sport,2015,88900.0,Hybrid,A/T,1,15500.0
3,Q3 45 S line Premium Plus,2021,9835.0,Gasoline,A/T,1,34999.0
0,ILX 2.4L,2016,136397.0,Gasoline,Other,1,14798.0
3,S3 2.0T Premium Plus,2017,84000.0,Gasoline,A/T,1,31000.0
4,740 iL,2001,242000.0,Gasoline,A/T,1,7300.0
27,RC 350 F Sport,2021,23436.0,Gasoline,A/T,1,41927.0
52,Model X Long Range Plus,2020,34000.0,,A/T,1,69950.0
26,Rover Range Rover Sport 3.0 Supercharged HST,2021,27608.0,Gasoline,A/T,1,73897.0
2,Martin DBS Superleggera,2019,22770.0,Gasoline,A/T,1,184606.0
53,Supra 3.0 Premium,2021,12500.0,Gasoline,A/T,1,53500.0
28,Aviator Reserve AWD,2022,18196.0,Gasoline,Other,1,62000.0
21,F-TYPE,2020,15903.0,Gasoline,A/T,1,47998.0
26,Rover LR4 HSE,2013,79800.0,Gasoline,A/T,1,29990.0
36,Metris Base,2021,1685.0,Gasoline,A/T,1,250000.0
11,Challenger SXT,2013,61074.0,Gasoline,A/T,1,16800.0
39,350Z Enthusiast,2003,74000.0,Gasoline,Manual,1,11000.0
21,F-TYPE R,2018,35250.0,Gasoline,A/T,1,68750.0
16,GV70 3.5T Sport,2023,5400.0,Gasoline,A/T,1,60000.0
9,S-10 LS,2000,133510.0,E85 Flex Fuel,A/T,1,4500.0
4,440 Gran Coupe 440i xDrive,2020,25990.0,Gasoline,A/T,1,38598.0
14,F-150 XLT,2023,2823.0,Gasoline,A/T,1,58504.0
9,Suburban RST,2021,52000.0,Gasoline,A/T,1,61000.0
19,Elantra N Base,2022,11650.0,Gasoline,Other,1,32300.0
39,Sentra SR,2016,96541.0,Gasoline,A/T,1,13998.0
36,AMG CLA 45 Base 4MATIC,2021,17500.0,Gasoline,A/T,1,59995.0
4,650 Gran Coupe i xDrive,2015,69000.0,Gasoline,A/T,1,25700.0
3,Q5 2.0T Premium Plus,2017,81880.0,E85 Flex Fuel,A/T,1,21375.0
36,AMG C 43 Base 4MATIC,2018,28800.0,Gasoline,A/T,1,48000.0
11,Ram 1500 Laramie Mega Cab,2006,300183.0,Gasoline,A/T,1,10900.0
4,i3 120Ah w/Range Extender,2020,35035.0,Hybrid,A/T,1,24998.0
24,Sorento SX,2011,171000.0,Gasoline,A/T,1,5999.0
27,LX 570 Base,2016,118700.0,Gasoline,A/T,1,46900.0
22,New Compass Trailhawk,2017,119000.0,Gasoline,A/T,1,15900.0
4,340 i,2018,44261.0,Gasoline,A/T,1,33598.0
3,A4 2.0T Premium Plus quattro,2012,125575.0,Gasoline,A/T,1,8999.0
19,Tucson SE,2007,16200.0,Gasoline,A/T,1,8200.0
4,Z4 sDrive28i,2014,70000.0,Gasoline,A/T,1,20000.0
5,Continental GTC Base,2011,20200.0,E85 Flex Fuel,A/T,1,79950.0
17,Passport Elite,2023,2978.0,Gasoline,A/T,1,45498.0
11,Sprinter 2500,2007,189719.0,Diesel,A/T,1,14000.0
4,M850 i xDrive,2019,9949.0,Gasoline,A/T,1,75798.0
30,Air Grand Touring,2022,3552.0,,A/T,1,119999.0
3,A7 Premium,2012,54000.0,Gasoline,A/T,1,36880.0
9,Silverado 1500 Custom Trail Boss,2021,51351.0,Gasoline,A/T,1,43147.0
31,Convertible John Cooper Works,2017,24280.0,Gasoline,A/T,1,29000.0
